conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1795736985530986592,Wed May 29 08:40:35 +0000 2024,0,Kejaksaan Agung mengungkap penghitungan kerugian negara dalam kasus dugaan korupsi PT Timah Mencapai Rp 300 triliun https://t.co/LX6CDAjdDy #Fotografi #AdadiKompas,1795736985530986592,,,in,"ÜT: 62.478419,21.330711",0,0,0,https://x.com/kompasmuda/status/1795736985530986592,79237556,kompasmuda
1795736983123407104,Wed May 29 08:40:34 +0000 2024,0,Kejaksaan Agung mengungkap penghitungan kerugian negara dalam kasus dugaan korupsi PT Timah Mencapai Rp 300 triliun https://t.co/VoaVdroP3s #Foto #AdadiKompas,1795736983123407104,,,in,"Palmerah Selatan, Jakarta",0,0,0,https://x.com/KompasKlasika/status/1795736983123407104,155456716,KompasKlasika
1795736383157567913,Wed May 29 08:38:11 +0000 2024,1,Semakin membengkak kerugian negara dlm kasus korupsi tambang illegal timah segera sj tangkap pembacking yg ngaku jendral wajib segera di cabut kepangkatannya oknum jendral yg melanggar etik korps.,1795736383157567913,,,in,,0,0,0,https://x.com/ENS53311139/status/1795736383157567913,1168102826624483329,ENS53311139
1795736253843054886,Wed May 29 08:37:40 +0000 2024,0,Jampidsus Jelaskan Terkait Perhitungan Kerugian Negara Rp 300 T di Kasus Korupsi Timah https://t.co/0FOPLyc2EO,1795736253843054886,,,in,,0,0,0,https://x.com/idntalk_com/status/1795736253843054886,564951196,idntalk_com
1795732199637123559,Wed May 29 08:35:36 +0000 2024,1,Dirjen Minerba para periode 2018-2019 melakukan perbuatan melawan hukum berupa mengubah Rencana Kerja dan Anggaran Biaya (RKAB) tahun 2019 dari 30.217 metrik ton menjadi 68.300 metrik ton. Korupsi PT Timah,1795735731052368273,,Abeng_babel,in,Indonesia,0,0,0,https://x.com/Abeng_babel/status/1795735731052368273,240728066,Abeng_babel
1795732199637123559,Wed May 29 08:34:43 +0000 2024,1,Penyidik Jampidsus menetapkan Dirjen Minerba Kementerian ESDM periode 2015-2020 Bambang Gatot Ariyono tersangka baru korupsi timah dengan kerugian Rp 300 T. https://t.co/LYStUkay7x,1795735511887417613,,Abeng_babel,in,Indonesia,0,1,0,https://x.com/Abeng_babel/status/1795735511887417613,240728066,Abeng_babel
1795735077315383602,Wed May 29 08:33:00 +0000 2024,1,Tak Hanya Helena Lim-Harvey Moeis 4 Orang Tersangka Timah Juga Dijerat TPPU Kejagung telah menetapkan 22 orang tersangka pada kasus korupsi timah PT Timah Tbk. Penyidik juga menjerat kasus TPPU terhadap 6 tersangka korupsi timah. &gt;&gt; https://t.co/mzhapBk49E #detikcom,1795735077315383602,,,in,,0,1,0,https://x.com/detikcom/status/1795735077315383602,69183155,detikcom
1795734874181279767,Wed May 29 08:32:11 +0000 2024,0,Korupsi Tata Niaga Timah Begini Peran Eks Dirjen Minerba Bambang Gatot https://t.co/8D6Gk4Mhti,1795734874181279767,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/Bisniscom/status/1795734874181279767,118646322,Bisniscom
1795734872541245537,Wed May 29 08:32:11 +0000 2024,30,Jaksa Agung Sebut Kerugian Negara di Korupsi Timah Tembus Rp300 Triliun https://t.co/moBz8UP8uj #TempoFoto,1795734872541245537,,,in,Indonesia,3,7,23,https://x.com/tempodotco/status/1795734872541245537,18129942,tempodotco
1795734852693803281,Wed May 29 08:32:06 +0000 2024,0,Cara Ahli Hitung Kerugian Negara Rp 300 Triliun di Kasus Korupsi Timah #newsupdate #update #news #text https://t.co/tSywp0cxOj,1795734852693803281,,,in,,0,0,0,https://x.com/kumparan/status/1795734852693803281,759692754985242625,kumparan
1795673757148958730,Wed May 29 08:32:04 +0000 2024,6,@MurtadhaOne1 Sebelumnya Rp 271 Triliun Kerugian Negara dari Korupsi PT Timah Tbk Bertambah Jadi Rp 300 Triliun https://t.co/eLYRoF3lIv,1795734843994841409,,MurtadhaOne1,in,Indonesia,0,1,3,https://x.com/tempodotco/status/1795734843994841409,18129942,tempodotco
1795734406151524854,Wed May 29 08:30:20 +0000 2024,0,Bukan Rp 271 Triliun Ternyata Kasus Korupsi PT Timah Sampai Rp 300 Triliun! https://t.co/tGSDqUMcFU,1795734406151524854,,,in,,0,0,0,https://x.com/KebumenTalk/status/1795734406151524854,1321505186884411392,KebumenTalk
1795733971042808101,Wed May 29 08:28:36 +0000 2024,0,Jampidsus Janji Bongkar Keterlibatan Jenderal Purn Dalam Kasus Korupsi Timah Singgung Sosok A dan B https://t.co/6SnsRpjQ7j,1795733971042808101,,,in,,0,0,0,https://x.com/Jessicamila_Ag/status/1795733971042808101,272069883,Jessicamila_Ag
1795733963283304597,Wed May 29 08:28:34 +0000 2024,0,Kerugian Dugaan Korupsi PT Timah Bertambah Versi Hitungan Kejagung Dulu Cuma Rp271 Triliun https://t.co/U58ODRwQmL,1795733963283304597,,,in,,0,0,0,https://x.com/Jessicamila_Ag/status/1795733963283304597,272069883,Jessicamila_Ag
1795733899974529052,Wed May 29 08:28:19 +0000 2024,0,Jaksa Agung: Kerugian Negara Korupsi Timah Capai Rp300 Triliun @jokowi @ST_Burhanuddin @SitiNurbayaLHK @KejaksaanRI @KPK_RI @KementerianLHK @dinaslhdki #KejaksaanAgung #KorupsiTimah #SanitiarBurhanuddin https://t.co/zoPyEK4QFj,1795733899974529052,,,in,,0,0,0,https://x.com/sinpotv/status/1795733899974529052,1012174601055449088,sinpotv
1795733365234270418,Wed May 29 08:26:12 +0000 2024,0,Tersangka ke-22 Eks Dirjen Minerba jadi Tersangka Baru Korupsi Timah Rp 300 Triliun https://t.co/Gaq2yja24b via @Indopolitika,1795733365234270418,,,in,Indonesia,0,0,0,https://x.com/Indopolitika/status/1795733365234270418,1645980546,Indopolitika
